sample interval	    ECG	     BP	(C4-A1)	(nasal)	(chest)	    EOG	    EMG
          10754	 -0.270	 82.899	  0.004	 -0.064	 -0.159	 -0.106	  0.009
          10755	 -0.262	 84.712	 -0.003	 -0.066	 -0.159	 -0.105	  0.024
          10756	 -0.272	 86.633	 -0.003	 -0.064	 -0.159	 -0.104	 -0.002
          10757	 -0.250	 88.980	  0.005	 -0.064	 -0.159	 -0.102	  0.012
          10758	 -0.246	 91.541	  0.007	 -0.063	 -0.159	 -0.100	  0.004
          10759	 -0.202	 94.101	  0.008	 -0.063	 -0.159	 -0.100	 -0.003
          10760	 -0.208	 96.982	  0.009	 -0.063	 -0.159	 -0.100	 -0.004
          10761	 -0.192	 99.756	  0.004	 -0.063	 -0.159	 -0.101	  0.000
          10762	 -0.176	102.850	 -0.005	 -0.063	 -0.159	 -0.103	 -0.000
          10763	 -0.156	105.731	  0.009	 -0.062	 -0.159	 -0.103	 -0.001
          10764	 -0.154	109.038	 -0.001	 -0.060	 -0.159	 -0.105	  0.004
          10765	 -0.146	112.132	  0.012	 -0.060	 -0.159	 -0.105	  0.004
          10766	 -0.128	115.119	  0.001	 -0.059	 -0.160	 -0.107	  0.033
          10767	 -0.124	118.000	  0.003	 -0.059	 -0.160	 -0.110	 -0.003
          10768	 -0.082	120.987	  0.005	 -0.059	 -0.160	 -0.111	  0.014
          10769	 -0.108	123.548	 -0.005	 -0.059	 -0.160	 -0.113	  0.001
          10770	 -0.104	126.109	  0.010	 -0.060	 -0.160	 -0.112	 -0.000
          10771	 -0.082	128.242	  0.009	 -0.059	 -0.161	 -0.108	  0.000
          10772	 -0.108	130.376	  0.003	 -0.060	 -0.162	 -0.105	  0.003
          10773	 -0.092	132.190	  0.007	 -0.058	 -0.162	 -0.103	  0.005
          10774	 -0.096	133.790	  0.005	 -0.059	 -0.162	 -0.104	 -0.004
          10775	 -0.100	135.071	  0.008	 -0.059	 -0.162	 -0.102	  0.003
          10776	 -0.084	136.351	  0.012	 -0.058	 -0.162	 -0.108	  0.007
          10777	 -0.096	137.204	  0.009	 -0.059	 -0.162	 -0.108	  0.006
          10778	 -0.106	137.738	  0.007	 -0.060	 -0.161	 -0.113	  0.033
          10779	 -0.136	138.378	  0.022	 -0.059	 -0.161	 -0.114	 -0.001
          10780	 -0.136	138.591	  0.004	 -0.059	 -0.161	 -0.115	  0.006
          10781	 -0.144	138.805	  0.019	 -0.059	 -0.160	 -0.111	 -0.000
          10782	 -0.176	138.911	  0.012	 -0.059	 -0.161	 -0.107	 -0.006
          10783	 -0.178	138.805	  0.001	 -0.057	 -0.161	 -0.105	  0.006
          10784	 -0.216	138.591	  0.005	 -0.057	 -0.161	 -0.103	  0.000
          10785	 -0.234	138.485	  0.002	 -0.057	 -0.161	 -0.101	  0.017
          10786	 -0.232	138.058	  0.005	 -0.056	 -0.161	 -0.105	 -0.009
          10787	 -0.222	137.631	 -0.004	 -0.055	 -0.161	 -0.106	  0.009
          10788	 -0.236	137.098	  0.004	 -0.055	 -0.161	 -0.109	  0.002
          10789	 -0.218	136.778	  0.004	 -0.055	 -0.160	 -0.112	 -0.003
          10790	 -0.252	136.351	 -0.000	 -0.055	 -0.160	 -0.111	  0.002
          10791	 -0.256	135.817	 -0.000	 -0.055	 -0.160	 -0.110	 -0.001
          10792	 -0.274	135.071	  0.003	 -0.055	 -0.160	 -0.107	  0.002
          10793	 -0.264	134.644	  0.004	 -0.054	 -0.160	 -0.107	 -0.002
          10794	 -0.264	134.217	  0.001	 -0.055	 -0.161	 -0.106	  0.003
          10795	 -0.270	133.790	 -0.008	 -0.054	 -0.160	 -0.109	  0.002
          10796	 -0.274	133.150	  0.007	 -0.053	 -0.160	 -0.109	  0.002
          10797	 -0.268	132.723	 -0.005	 -0.054	 -0.160	 -0.107	  0.005
          10798	 -0.258	132.083	 -0.002	 -0.052	 -0.160	 -0.107	  0.005
          10799	 -0.264	131.656	 -0.003	 -0.054	 -0.159	 -0.103	  0.004
          10800	 -0.264	131.230	 -0.002	 -0.051	 -0.159	 -0.104	  0.004
          10801	 -0.264	130.803	  0.004	 -0.051	 -0.159	 -0.103	 -0.004
          10802	 -0.254	130.376	 -0.001	 -0.049	 -0.159	 -0.105	  0.011
          10803	 -0.280	129.843	  0.000	 -0.047	 -0.158	 -0.103	  0.004
          10804	 -0.264	129.523	  0.001	 -0.046	 -0.158	 -0.100	  0.010
          10805	 -0.284	128.989	 -0.007	 -0.046	 -0.158	 -0.100	 -0.001
          10806	 -0.278	128.669	  0.004	 -0.046	 -0.158	 -0.103	 -0.001
          10807	 -0.234	128.242	  0.003	 -0.046	 -0.158	 -0.105	  0.003
          10808	 -0.270	127.922	  0.008	 -0.046	 -0.158	 -0.108	 -0.004
          10809	 -0.238	127.389	 -0.002	 -0.043	 -0.158	 -0.112	 -0.001
          10810	 -0.254	126.962	  0.015	 -0.045	 -0.158	 -0.110	  0.004
          10811	 -0.246	126.855	  0.003	 -0.045	 -0.158	 -0.109	  0.000
          10812	 -0.256	126.002	  0.001	 -0.046	 -0.158	 -0.108	  0.002
          10813	 -0.252	125.255	  0.001	 -0.047	 -0.158	 -0.107	  0.007
          10814	 -0.268	124.722	 -0.004	 -0.049	 -0.158	 -0.108	  0.009
          10815	 -0.274	123.975	  0.005	 -0.046	 -0.158	 -0.109	  0.003
          10816	 -0.260	123.121	  0.006	 -0.046	 -0.157	 -0.110	  0.004
          10817	 -0.256	122.054	  0.013	 -0.047	 -0.158	 -0.109	  0.003
          10818	 -0.236	120.987	  0.004	 -0.046	 -0.157	 -0.109	  0.003
          10819	 -0.254	119.707	  0.011	 -0.044	 -0.158	 -0.110	  0.006
          10820	 -0.232	118.320	  0.003	 -0.042	 -0.158	 -0.109	  0.026
          10821	 -0.252	116.826	  0.009	 -0.042	 -0.158	 -0.111	 -0.005
          10822	 -0.250	115.333	  0.010	 -0.042	 -0.158	 -0.110	  0.012
          10823	 -0.242	113.626	  0.004	 -0.042	 -0.158	 -0.110	 -0.000
          10824	 -0.226	111.705	  0.006	 -0.043	 -0.158	 -0.112	 -0.006
          10825	 -0.248	109.998	  0.001	 -0.043	 -0.158	 -0.112	  0.003
          10826	 -0.232	108.291	  0.001	 -0.044	 -0.157	 -0.107	 -0.000
          10827	 -0.222	106.477	  0.006	 -0.042	 -0.157	 -0.107	  0.003
          10828	 -0.218	104.877	  0.006	 -0.044	 -0.156	 -0.105	  0.003
          10829	 -0.220	103.383	  0.013	 -0.044	 -0.156	 -0.107	  0.010
          10830	 -0.216	101.996	  0.008	 -0.042	 -0.156	 -0.112	  0.001
          10831	 -0.236	100.929	  0.005	 -0.040	 -0.156	 -0.115	  0.004
          10832	 -0.188	 99.756	  0.004	 -0.038	 -0.156	 -0.116	  0.013
          10833	 -0.238	 98.902	  0.004	 -0.039	 -0.156	 -0.115	 -0.007
          10834	 -0.216	 98.262	 -0.004	 -0.038	 -0.156	 -0.114	  0.011
          10835	 -0.208	 97.622	  0.015	 -0.038	 -0.155	 -0.113	  0.002
          10836	 -0.168	 97.195	  0.001	 -0.038	 -0.155	 -0.112	 -0.007
          10837	 -0.160	 96.982	  0.008	 -0.039	 -0.155	 -0.113	 -0.003
          10838	 -0.156	 96.769	  0.008	 -0.040	 -0.155	 -0.110	  0.002
          10839	 -0.186	 96.769	  0.016	 -0.039	 -0.155	 -0.113	  0.003
          10840	 -0.188	 96.875	  0.011	 -0.038	 -0.155	 -0.114	  0.000
          10841	 -0.182	 97.089	  0.020	 -0.037	 -0.155	 -0.116	  0.001
          10842	 -0.190	 97.089	  0.012	 -0.036	 -0.155	 -0.116	  0.000
          10843	 -0.160	 97.515	  0.014	 -0.036	 -0.155	 -0.116	  0.008
          10844	 -0.184	 97.942	  0.002	 -0.034	 -0.155	 -0.114	  0.006
          10845	 -0.176	 98.262	  0.001	 -0.036	 -0.155	 -0.114	  0.000
          10846	 -0.170	 98.689	  0.001	 -0.037	 -0.155	 -0.114	 -0.001
          10847	 -0.166	 99.116	  0.001	 -0.038	 -0.155	 -0.118	  0.002
          10848	 -0.160	 99.436	 -0.010	 -0.038	 -0.155	 -0.115	  0.001
          10849	 -0.174	 99.756	 -0.004	 -0.038	 -0.155	 -0.112	  0.005
          10850	 -0.182	100.076	 -0.002	 -0.038	 -0.155	 -0.111	  0.005
          10851	 -0.176	100.503	 -0.001	 -0.039	 -0.155	 -0.110	  0.023
          10852	 -0.174	100.929	 -0.005	 -0.039	 -0.155	 -0.111	 -0.008
          10853	 -0.178	100.929	  0.006	 -0.041	 -0.155	 -0.113	  0.009
          10854	 -0.188	101.250	 -0.005	 -0.040	 -0.155	 -0.113	  0.003
          10855	 -0.176	101.356	 -0.007	 -0.040	 -0.154	 -0.113	 -0.004
          10856	 -0.196	101.356	  0.005	 -0.040	 -0.154	 -0.112	  0.004
          10857	 -0.186	101.463	 -0.000	 -0.038	 -0.154	 -0.112	  0.003
          10858	 -0.160	101.570	  0.001	 -0.036	 -0.154	 -0.115	  0.017
          10859	 -0.190	101.356	 -0.000	 -0.035	 -0.154	 -0.113	 -0.001
          10860	 -0.192	101.356	 -0.001	 -0.034	 -0.154	 -0.116	  0.006
          10861	 -0.190	101.250	  0.011	 -0.034	 -0.153	 -0.114	 -0.002
          10862	 -0.184	101.250	  0.002	 -0.032	 -0.153	 -0.113	 -0.004
          10863	 -0.184	100.823	  0.009	 -0.033	 -0.153	 -0.114	  0.004
          10864	 -0.170	100.716	 -0.003	 -0.035	 -0.153	 -0.112	  0.025
          10865	 -0.194	100.396	  0.009	 -0.036	 -0.153	 -0.113	  0.001
          10866	 -0.168	100.076	 -0.001	 -0.036	 -0.153	 -0.113	  0.010
          10867	 -0.184	 99.649	  0.012	 -0.036	 -0.152	 -0.115	 -0.001
          10868	 -0.180	 99.436	  0.004	 -0.034	 -0.153	 -0.114	  0.005
          10869	 -0.192	 99.116	 -0.004	 -0.034	 -0.152	 -0.114	 -0.005
          10870	 -0.192	 98.796	 -0.004	 -0.032	 -0.152	 -0.113	  0.002
          10871	 -0.202	 98.369	  0.003	 -0.031	 -0.152	 -0.112	  0.011
          10872	 -0.190	 97.942	  0.012	 -0.030	 -0.152	 -0.110	 -0.003
          10873	 -0.162	 97.515	 -0.003	 -0.030	 -0.152	 -0.112	  0.006
          10874	 -0.164	 97.089	  0.001	 -0.033	 -0.152	 -0.110	 -0.007
          10875	 -0.172	 96.662	 -0.000	 -0.033	 -0.152	 -0.112	  0.004
          10876	 -0.158	 96.235	  0.004	 -0.034	 -0.151	 -0.112	  0.018
          10877	 -0.132	 95.808	  0.003	 -0.033	 -0.151	 -0.111	 -0.008
          10878	 -0.142	 95.168	  0.009	 -0.035	 -0.151	 -0.114	  0.009
          10879	 -0.118	 94.848	  0.003	 -0.035	 -0.151	 -0.113	  0.004
          10880	 -0.106	 94.208	  0.003	 -0.036	 -0.151	 -0.115	 -0.002
          10881	 -0.072	 93.888	  0.010	 -0.035	 -0.151	 -0.116	  0.025
          10882	 -0.088	 93.461	  0.010	 -0.034	 -0.151	 -0.117	 -0.007
          10883	 -0.072	 93.034	  0.012	 -0.033	 -0.151	 -0.118	  0.016
          10884	 -0.062	 92.394	  0.001	 -0.031	 -0.151	 -0.117	 -0.010
          10885	 -0.070	 92.074	  0.003	 -0.031	 -0.151	 -0.117	  0.005
          10886	 -0.022	 91.647	  0.001	 -0.031	 -0.151	 -0.116	  0.000
          10887	 -0.022	 91.221	  0.006	 -0.032	 -0.151	 -0.114	 -0.003
          10888	  0.032	 90.687	  0.011	 -0.033	 -0.150	 -0.110	  0.004
          10889	  0.050	 90.260	  0.002	 -0.034	 -0.150	 -0.108	  0.025
          10890	  0.046	 89.940	 -0.006	 -0.033	 -0.150	 -0.106	 -0.002
          10891	  0.058	 89.514	  0.007	 -0.033	 -0.149	 -0.105	  0.005
          10892	  0.016	 88.980	 -0.004	 -0.034	 -0.150	 -0.103	  0.001
          10893	 -0.000	 88.553	  0.003	 -0.032	 -0.149	 -0.104	 -0.003
          10894	  0.018	 88.233	  0.006	 -0.032	 -0.149	 -0.107	  0.014
          10895	 -0.000	 87.807	  0.011	 -0.034	 -0.155	 -0.107	 -0.000
          10896	 -0.002	 87.486	  0.007	 -0.034	 -0.149	 -0.109	  0.005
          10897	 -0.024	 87.166	  0.002	 -0.035	 -0.149	 -0.109	  0.002
          10898	 -0.044	 86.846	 -0.006	 -0.033	 -0.149	 -0.108	  0.001
          10899	 -0.124	 86.420	 -0.002	 -0.034	 -0.149	 -0.105	 -0.004
          10900	 -0.162	 86.099	  0.002	 -0.032	 -0.149	 -0.102	  0.004
          10901	 -0.218	 85.779	 -0.005	 -0.033	 -0.149	 -0.100	  0.002
          10902	 -0.260	 85.566	  0.005	 -0.030	 -0.149	 -0.100	 -0.001
          10903	 -0.262	 85.246	 -0.001	 -0.031	 -0.148	 -0.098	  0.002
          10904	 -0.282	 84.926	  0.005	 -0.032	 -0.148	 -0.097	  0.008
          10905	 -0.264	 84.712	 -0.011	 -0.032	 -0.148	 -0.097	 -0.004
          10906	 -0.260	 84.606	  0.012	 -0.033	 -0.148	 -0.094	 -0.003
          10907	 -0.268	 84.286	 -0.004	 -0.033	 -0.148	 -0.095	  0.001
          10908	 -0.274	 84.072	  0.003	 -0.033	 -0.148	 -0.099	  0.003
          10909	 -0.292	 83.859	 -0.005	 -0.033	 -0.148	 -0.100	 -0.001
          10910	 -0.294	 83.646	 -0.010	 -0.034	 -0.147	 -0.101	  0.006
          10911	 -0.284	 83.432	 -0.005	 -0.034	 -0.147	 -0.100	 -0.004
          10912	 -0.276	 83.432	 -0.008	 -0.033	 -0.147	 -0.100	  0.008
          10913	 -0.290	 83.112	 -0.011	 -0.032	 -0.147	 -0.098	  0.003
          10914	 -0.296	 83.005	 -0.011	 -0.032	 -0.147	 -0.093	 -0.005
          10915	 -0.290	 83.005	 -0.010	 -0.031	 -0.147	 -0.092	 -0.000
          10916	 -0.280	 82.899	 -0.012	 -0.030	 -0.147	 -0.088	  0.000
          10917	 -0.290	 82.579	 -0.015	 -0.030	 -0.147	 -0.085	  0.013
          10918	 -0.284	 82.472	 -0.020	 -0.028	 -0.147	 -0.083	 -0.005
          10919	 -0.288	 82.472	 -0.015	 -0.024	 -0.147	 -0.082	  0.012
          10920	 -0.328	 82.579	 -0.016	 -0.025	 -0.147	 -0.081	 -0.007
          10921	 -0.376	 82.472	 -0.009	 -0.023	 -0.146	 -0.083	  0.003
          10922	 -0.368	 82.259	 -0.008	 -0.027	 -0.146	 -0.087	 -0.008
          10923	 -0.384	 82.259	 -0.001	 -0.027	 -0.146	 -0.091	 -0.008
          10924	 -0.242	 82.152	  0.005	 -0.030	 -0.146	 -0.091	  0.018
          10925	 -0.020	 82.045	  0.005	 -0.030	 -0.146	 -0.097	 -0.005
          10926	  0.468	 81.939	  0.002	 -0.030	 -0.146	 -0.100	 -0.004
          10927	  1.110	 81.939	  0.027	 -0.028	 -0.146	 -0.104	  0.020
          10928	  1.862	 81.725	  0.034	 -0.030	 -0.145	 -0.109	 -0.006
          10929	  2.304	 81.832	  0.051	 -0.027	 -0.145	 -0.110	  0.014
          10930	  2.352	 81.725	  0.042	 -0.027	 -0.145	 -0.116	  0.014
          10931	  1.868	 81.618	  0.030	 -0.030	 -0.144	 -0.113	  0.008
          10932	  1.120	 81.512	  0.020	 -0.027	 -0.145	 -0.107	  0.034
          10933	  0.224	 81.512	  0.006	 -0.027	 -0.144	 -0.100	  0.002
          10934	 -0.308	 81.298	 -0.002	 -0.025	 -0.144	 -0.088	  0.006
          10935	 -0.682	 81.298	 -0.017	 -0.027	 -0.143	 -0.082	  0.016
          10936	 -0.868	 81.192	 -0.020	 -0.028	 -0.143	 -0.078	 -0.016
          10937	 -0.836	 81.192	 -0.018	 -0.030	 -0.142	 -0.077	  0.009
          10938	 -0.760	 80.872	 -0.020	 -0.028	 -0.142	 -0.077	 -0.002
          10939	 -0.764	 80.872	 -0.026	 -0.026	 -0.142	 -0.077	 -0.001
          10940	 -0.672	 80.765	 -0.023	 -0.025	 -0.142	 -0.078	 -0.009
          10941	 -0.592	 80.765	 -0.023	 -0.026	 -0.142	 -0.079	  0.001
          10942	 -0.542	 80.445	 -0.011	 -0.026	 -0.142	 -0.081	  0.016
          10943	 -0.498	 80.338	 -0.017	 -0.027	 -0.142	 -0.081	 -0.006
          10944	 -0.498	 80.338	 -0.011	 -0.027	 -0.142	 -0.085	  0.003
          10945	 -0.498	 80.018	 -0.013	 -0.030	 -0.142	 -0.088	 -0.006
          10946	 -0.496	 80.018	 -0.012	 -0.028	 -0.142	 -0.091	  0.002
          10947	 -0.484	 79.805	 -0.017	 -0.026	 -0.141	 -0.094	 -0.012
          10948	 -0.470	 79.591	 -0.011	 -0.025	 -0.141	 -0.093	  0.005
          10949	 -0.472	 79.271	 -0.017	 -0.025	 -0.141	 -0.092	 -0.003
          10950	 -0.450	 79.271	 -0.018	 -0.025	 -0.140	 -0.089	 -0.007
          10951	 -0.462	 78.951	 -0.007	 -0.025	 -0.140	 -0.091	  0.012
          10952	 -0.432	 78.738	 -0.008	 -0.025	 -0.140	 -0.092	 -0.006
          10953	 -0.446	 78.418	 -0.014	 -0.025	 -0.139	 -0.094	  0.006
          10954	 -0.434	 78.311	 -0.019	 -0.025	 -0.139	 -0.093	  0.003
          10955	 -0.430	 78.098	 -0.022	 -0.025	 -0.138	 -0.089	 -0.004
          10956	 -0.422	 77.991	 -0.022	 -0.025	 -0.138	 -0.085	  0.002
          10957	 -0.398	 77.778	 -0.026	 -0.025	 -0.138	 -0.084	 -0.001
          10958	 -0.380	 77.671	 -0.019	 -0.023	 -0.138	 -0.084	  0.022
          10959	 -0.400	 77.458	 -0.017	 -0.023	 -0.138	 -0.089	 -0.004
          10960	 -0.402	 77.244	 -0.012	 -0.025	 -0.138	 -0.092	  0.014
          10961	 -0.390	 77.031	 -0.019	 -0.023	 -0.137	 -0.094	 -0.005
          10962	 -0.358	 76.924	 -0.015	 -0.023	 -0.137	 -0.094	  0.005
          10963	 -0.352	 76.711	 -0.021	 -0.025	 -0.137	 -0.091	  0.000
          10964	 -0.344	 76.711	 -0.028	 -0.024	 -0.137	 -0.087	 -0.005
          10965	 -0.366	 76.604	 -0.028	 -0.025	 -0.136	 -0.086	 -0.001
          10966	 -0.352	 76.497	 -0.007	 -0.025	 -0.136	 -0.086	  0.001
          10967	 -0.352	 76.391	 -0.020	 -0.025	 -0.136	 -0.090	  0.008
          10968	 -0.330	 76.284	 -0.015	 -0.024	 -0.136	 -0.094	  0.005
          10969	 -0.318	 76.177	 -0.023	 -0.021	 -0.135	 -0.095	 -0.004
          10970	 -0.324	 76.177	 -0.014	 -0.023	 -0.136	 -0.094	  0.001
          10971	 -0.302	 76.177	 -0.010	 -0.022	 -0.135	 -0.090	  0.003
          10972	 -0.330	 76.391	 -0.017	 -0.023	 -0.135	 -0.086	  0.003
          10973	 -0.288	 76.604	 -0.017	 -0.022	 -0.136	 -0.084	  0.007
          10974	 -0.312	 77.031	 -0.013	 -0.022	 -0.135	 -0.081	 -0.000
          10975	 -0.290	 77.671	 -0.010	 -0.021	 -0.135	 -0.084	  0.014
          10976	 -0.298	 78.524	 -0.010	 -0.022	 -0.135	 -0.084	  0.003
          10977	 -0.274	 79.805	 -0.011	 -0.021	 -0.135	 -0.086	  0.008
          10978	 -0.264	 81.085	 -0.014	 -0.023	 -0.135	 -0.086	 -0.003
          10979	 -0.276	 82.899	 -0.014	 -0.022	 -0.135	 -0.087	  0.004
          10980	 -0.248	 84.712	 -0.005	 -0.022	 -0.135	 -0.088	  0.002
          10981	 -0.256	 86.740	 -0.011	 -0.023	 -0.135	 -0.084	 -0.001
          10982	 -0.236	 89.300	 -0.003	 -0.023	 -0.136	 -0.090	  0.003
          10983	 -0.236	 91.967	 -0.013	 -0.025	 -0.136	 -0.091	  0.007
          10984	 -0.208	 94.421	 -0.008	 -0.024	 -0.136	 -0.094	  0.005
          10985	 -0.224	 97.302	 -0.023	 -0.025	 -0.136	 -0.093	  0.005
          10986	 -0.188	100.289	 -0.015	 -0.023	 -0.136	 -0.091	  0.028
          10987	 -0.156	103.277	 -0.017	 -0.021	 -0.136	 -0.088	 -0.006
          10988	 -0.152	106.264	 -0.016	 -0.021	 -0.136	 -0.084	  0.013
          10989	 -0.142	109.465	 -0.008	 -0.021	 -0.136	 -0.082	 -0.002
          10990	 -0.132	112.559	 -0.009	 -0.021	 -0.136	 -0.079	 -0.004
          10991	 -0.136	115.546	  0.000	 -0.021	 -0.136	 -0.076	 -0.000
          10992	 -0.120	118.427	 -0.010	 -0.021	 -0.136	 -0.075	  0.005
          10993	 -0.108	121.307	 -0.012	 -0.021	 -0.136	 -0.074	  0.002
          10994	 -0.102	123.761	 -0.010	 -0.020	 -0.136	 -0.075	  0.003
          10995	 -0.100	126.215	 -0.014	 -0.021	 -0.136	 -0.075	  0.031
          10996	 -0.100	128.456	  0.000	 -0.021	 -0.136	 -0.075	 -0.007
          10997	 -0.098	130.483	 -0.009	 -0.020	 -0.136	 -0.075	  0.010
          10998	 -0.112	132.190	  0.003	 -0.018	 -0.136	 -0.075	 -0.002
          10999	 -0.092	133.684	 -0.000	 -0.020	 -0.136	 -0.077	 -0.002
          11000	 -0.102	134.964	  0.000	 -0.018	 -0.136	 -0.077	  0.000
          11001	 -0.100	135.924	 -0.005	 -0.017	 -0.135	 -0.079	  0.007
          11002	 -0.120	136.884	 -0.009	 -0.017	 -0.135	 -0.081	  0.004
          11003	 -0.126	137.311	 -0.015	 -0.018	 -0.135	 -0.081	  0.002
          11004	 -0.120	137.845	 -0.011	 -0.017	 -0.136	 -0.082	  0.002
          11005	 -0.144	138.058	 -0.021	 -0.017	 -0.135	 -0.084	  0.006
          11006	 -0.142	138.058	 -0.014	 -0.018	 -0.135	 -0.084	  0.004
          11007	 -0.176	138.058	 -0.028	 -0.017	 -0.135	 -0.086	  0.003
          11008	 -0.192	138.058	 -0.016	 -0.017	 -0.135	 -0.086	  0.004
          11009	 -0.206	137.738	 -0.011	 -0.016	 -0.135	 -0.085	  0.018
          11010	 -0.214	137.631	 -0.010	 -0.017	 -0.134	 -0.083	 -0.001
          11011	 -0.232	137.204	 -0.013	 -0.016	 -0.134	 -0.084	  0.005
          11012	 -0.242	138.058	 -0.012	 -0.015	 -0.133	 -0.086	 -0.001
          11013	 -0.252	136.351	 -0.010	 -0.016	 -0.133	 -0.085	 -0.002
          11014	 -0.248	135.924	 -0.013	 -0.014	 -0.133	 -0.086	 -0.000
          11015	 -0.260	135.497	 -0.009	 -0.015	 -0.133	 -0.082	  0.008
          11016	 -0.250	134.857	 -0.004	 -0.015	 -0.133	 -0.079	  0.000
          11017	 -0.248	134.324	 -0.008	 -0.015	 -0.132	 -0.074	 -0.003
          11018	 -0.264	133.790	 -0.011	 -0.014	 -0.132	 -0.067	 -0.004
          11019	 -0.262	133.363	 -0.009	 -0.013	 -0.132	 -0.064	  0.000
          11020	 -0.280	132.937	 -0.013	 -0.015	 -0.132	 -0.062	  0.032
          11021	 -0.276	132.190	 -0.013	 -0.016	 -0.131	 -0.064	 -0.008
          11022	 -0.298	131.763	 -0.018	 -0.017	 -0.131	 -0.063	  0.009
          11023	 -0.264	131.123	 -0.014	 -0.014	 -0.131	 -0.064	 -0.001
          11024	 -0.288	130.696	 -0.010	 -0.014	 -0.130	 -0.064	 -0.003
          11025	 -0.268	130.163	 -0.013	 -0.013	 -0.130	 -0.063	  0.004
          11026	 -0.268	129.629	 -0.008	 -0.013	 -0.129	 -0.069	  0.004
          11027	 -0.268	129.203	 -0.015	 -0.013	 -0.129	 -0.072	 -0.001
          11028	 -0.290	128.776	 -0.007	 -0.013	 -0.128	 -0.077	  0.010
          11029	 -0.264	128.242	 -0.017	 -0.013	 -0.128	 -0.078	  0.002
          11030	 -0.264	127.816	 -0.009	 -0.013	 -0.128	 -0.081	  0.004
          11031	 -0.280	127.389	 -0.009	 -0.014	 -0.128	 -0.080	  0.003
          11032	 -0.272	126.962	 -0.006	 -0.013	 -0.128	 -0.082	 -0.003
          11033	 -0.252	126.535	  0.002	 -0.013	 -0.128	 -0.086	  0.010
          11034	 -0.288	126.002	 -0.004	 -0.013	 -0.128	 -0.088	  0.002
          11035	 -0.278	125.575	  0.001	 -0.013	 -0.128	 -0.087	 -0.003
          11036	 -0.268	124.935	  0.006	 -0.013	 -0.128	 -0.086	 -0.002
          11037	 -0.252	124.401	  0.009	 -0.013	 -0.127	 -0.078	 -0.004
          11038	 -0.254	123.868	 -0.005	 -0.013	 -0.126	 -0.076	 -0.005
          11039	 -0.246	123.228	  0.002	 -0.013	 -0.126	 -0.072	  0.008
          11040	 -0.258	122.374	 -0.007	 -0.012	 -0.126	 -0.071	  0.002
          11041	 -0.260	121.521	 -0.006	 -0.012	 -0.126	 -0.070	 -0.007
          11042	 -0.266	120.561	 -0.011	 -0.013	 -0.126	 -0.067	 -0.004
          11043	 -0.272	119.707	 -0.015	 -0.013	 -0.126	 -0.066	 -0.000
          11044	 -0.248	118.427	 -0.011	 -0.014	 -0.126	 -0.068	 -0.000
          11045	 -0.272	116.933	 -0.009	 -0.015	 -0.126	 -0.069	  0.003
          11046	 -0.266	115.546	 -0.010	 -0.015	 -0.126	 -0.074	  0.002
          11047	 -0.238	113.839	 -0.014	 -0.013	 -0.126	 -0.076	  0.003
          11048	 -0.246	112.132	 -0.010	 -0.013	 -0.126	 -0.079	  0.013
          11049	 -0.220	110.318	 -0.015	 -0.015	 -0.125	 -0.081	 -0.007
          11050	 -0.238	108.825	 -0.017	 -0.014	 -0.125	 -0.081	  0.013
          11051	 -0.214	106.904	 -0.015	 -0.015	 -0.124	 -0.081	  0.002
          11052	 -0.228	105.304	 -0.007	 -0.013	 -0.124	 -0.081	 -0.000
          11053	 -0.206	103.597	 -0.009	 -0.013	 -0.123	 -0.083	  0.003
          11054	 -0.178	102.210	 -0.005	 -0.012	 -0.123	 -0.085	  0.002
          11055	 -0.208	100.823	 -0.001	 -0.011	 -0.122	 -0.086	  0.010
          11056	 -0.202	 99.649	 -0.002	 -0.013	 -0.122	 -0.088	  0.004
          11057	 -0.208	 98.689	 -0.008	 -0.013	 -0.122	 -0.088	  0.006
          11058	 -0.206	 97.942	 -0.009	 -0.013	 -0.122	 -0.089	  0.007
          11059	 -0.178	 97.089	 -0.005	 -0.013	 -0.121	 -0.088	  0.001
          11060	 -0.200	 96.555	 -0.001	 -0.013	 -0.120	 -0.086	  0.013
          11061	 -0.180	 96.235	  0.003	 -0.012	 -0.120	 -0.086	 -0.011
          11062	 -0.180	 95.915	  0.008	 -0.012	 -0.119	 -0.079	  0.007
          11063	 -0.190	 95.808	  0.004	 -0.011	 -0.119	 -0.079	 -0.001
          11064	 -0.160	 95.808	  0.007	 -0.011	 -0.118	 -0.078	 -0.002
          11065	 -0.152	 95.808	  0.007	 -0.012	 -0.117	 -0.077	  0.007
          11066	 -0.164	 95.915	 -0.000	 -0.009	 -0.117	 -0.079	  0.002
          11067	 -0.174	 96.235	  0.003	 -0.013	 -0.117	 -0.081	  0.009
          11068	 -0.168	 96.555	  0.001	 -0.013	 -0.117	 -0.081	  0.025
          11069	 -0.176	 96.982	  0.001	 -0.009	 -0.117	 -0.084	 -0.003
          11070	 -0.172	 97.302	 -0.004	 -0.008	 -0.116	 -0.085	  0.007
          11071	 -0.176	 97.729	 -0.008	 -0.009	 -0.116	 -0.090	  0.000
          11072	 -0.162	 98.049	  0.003	 -0.009	 -0.115	 -0.091	  0.000
          11073	 -0.144	 98.476	 -0.002	 -0.007	 -0.115	 -0.091	 -0.002
          11074	 -0.192	 98.796	  0.004	 -0.008	 -0.115	 -0.092	  0.004
